timestamp	company	status
2026-08-21T05:34:48.915Z	Adyen	reachable
2026-08-21T05:34:48.915Z	Elastic	reachable
2026-08-21T05:34:48.915Z	Miro	reachable
2026-08-21T05:34:48.915Z	Anthropic	reachable
2026-08-21T05:34:48.915Z	OpenAI	reachable
2026-08-21T05:34:48.915Z	Mistral AI	empty
2026-08-21T05:34:48.915Z	Hugging Face	reachable
2026-08-21T05:34:48.915Z	Satispay	reachable
2026-08-21T05:34:48.915Z	Scalapay	reachable
2026-08-21T05:34:48.915Z	N26	reachable
2026-08-22T05:29:35.022Z	Stripe	reachable
2026-08-22T05:29:35.022Z	Workday	reachable
2026-08-22T05:29:35.022Z	HubSpot	empty
2026-08-22T05:29:35.022Z	Intercom	reachable
2026-08-22T05:29:35.022Z	Adyen	reachable
2026-08-22T05:29:35.022Z	Elastic	reachable
2026-08-22T05:29:35.022Z	Miro	reachable
2026-08-22T05:29:35.022Z	Anthropic	reachable
2026-08-22T05:29:35.022Z	OpenAI	reachable
2026-08-22T05:29:35.022Z	Mistral AI	empty
2026-08-22T05:29:35.022Z	Hugging Face	reachable
2026-08-22T05:29:35.022Z	Satispay	reachable
2026-08-22T05:29:35.022Z	Scalapay	reachable
2026-08-22T05:29:35.022Z	N26	reachable
2026-08-23T05:31:45.845Z	Stripe	reachable
2026-08-23T05:31:45.845Z	Workday	reachable
2026-08-23T05:31:45.845Z	HubSpot	empty
2026-08-23T05:31:45.845Z	Intercom	reachable
2026-08-23T05:31:45.845Z	Adyen	reachable
2026-08-23T05:31:45.845Z	Elastic	reachable
2026-08-23T05:31:45.845Z	Miro	reachable
2026-08-23T05:31:45.845Z	Anthropic	reachable
2026-08-23T05:31:45.845Z	OpenAI	reachable
2026-08-23T05:31:45.845Z	Mistral AI	empty
2026-08-23T05:31:45.845Z	Hugging Face	reachable
2026-08-23T05:31:45.845Z	Satispay	reachable
2026-08-23T05:31:45.845Z	Scalapay	reachable
2026-08-23T05:31:45.845Z	N26	reachable
2026-08-24T05:40:21.430Z	Stripe	reachable
2026-08-24T05:40:21.430Z	Workday	reachable
2026-08-24T05:40:21.430Z	HubSpot	empty
2026-08-24T05:40:21.430Z	Intercom	reachable
2026-08-24T05:40:21.430Z	Adyen	reachable
2026-08-24T05:40:21.430Z	Elastic	reachable
2026-08-24T05:40:21.430Z	Miro	reachable
